"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"01","01001","90171","03220","36003","99999","00240","25,000-99,999","200-999","AL","Autauga AL","Autaugaville CCD","Autaugaville town, AL","99999","Autaugaville, AL","Autauga County School District",861,1 
"01","01001","90171","03220","36067","99999","00240","25,000-99,999","200-999","AL","Autauga AL","Autaugaville CCD","Autaugaville town, AL","99999","Prattville, AL","Autauga County School District",9,1 
"01","01001","90171","99999","36003","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Autaugaville CCD"," ","99999","Autaugaville, AL","Autauga County School District",1114,1 
"01","01001","90171","99999","36067","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Autaugaville CCD"," ","99999","Prattville, AL","Autauga County School District",905,1 
"01","01001","90171","99999","36703","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Autaugaville CCD"," ","99999","Selma, AL","Autauga County School District",170,1 
"01","01001","90171","99999","36749","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Autaugaville CCD"," ","99999","Jones, AL","Autauga County School District",261,1 
"01","01001","90315","06460","36006","99999","00240","25,000-99,999","Less than 200","AL","Autauga AL","Billingsley CCD","Billingsley town, AL","99999","Billingsley, AL","Autauga County School District",144,1 
"01","01001","90315","99999","36006","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Billingsley CCD"," ","99999","Billingsley, AL","Autauga County School District",850,1 
"01","01001","90315","99999","36067","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Billingsley CCD"," ","99999","Prattville, AL","Autauga County School District",1179,1 
"01","01001","90315","99999","36091","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Billingsley CCD"," ","99999","Verbena, AL","Autauga County School District",12,1 
"01","01001","90315","99999","36749","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Billingsley CCD"," ","99999","Jones, AL","Autauga County School District",415,1 
"01","01001","90315","99999","36758","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Billingsley CCD"," ","99999","Plantersville, AL","Autauga County School District",294,1 
"01","01001","92106","46600","36022","99999","00240","25,000-99,999","1000-2499","AL","Autauga AL","Marbury CCD","Marbury CDP, AL","99999","Deatsville, AL","Autauga County School District",569,1 
"01","01001","92106","46600","36051","99999","00240","25,000-99,999","1000-2499","AL","Autauga AL","Marbury CCD","Marbury CDP, AL","99999","Marbury, AL","Autauga County School District",849,1 
"01","01001","92106","60264","36022","99999","00240","25,000-99,999","2500-9999","AL","Autauga AL","Marbury CCD","Pine Level CDP, AL","99999","Deatsville, AL","Autauga County School District",1188,1 
"01","01001","92106","60264","36067","99999","00240","25,000-99,999","2500-9999","AL","Autauga AL","Marbury CCD","Pine Level CDP, AL","99999","Prattville, AL","Autauga County School District",353,1 
"01","01001","92106","99999","36022","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Marbury CCD"," ","99999","Deatsville, AL","Autauga County School District",516,1 
"01","01001","92106","99999","36051","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Marbury CCD"," ","99999","Marbury, AL","Autauga County School District",766,1 
"01","01001","92106","99999","36067","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Marbury CCD"," ","99999","Prattville, AL","Autauga County School District",1100,1 
"01","01001","92106","99999","36091","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Marbury CCD"," ","99999","Verbena, AL","Autauga County School District",334,1 
"01","01001","92628","48712","36022","99999","00240","25,000-99,999","10,000-24,999","AL","Autauga AL","Prattville CCD","Millbrook city, AL","99999","Deatsville, AL","Autauga County School District",144,1 
"01","01001","92628","60264","36022","99999","00240","25,000-99,999","2500-9999","AL","Autauga AL","Prattville CCD","Pine Level CDP, AL","99999","Deatsville, AL","Autauga County School District",1252,1 
"01","01001","92628","60264","36066","99999","00240","25,000-99,999","2500-9999","AL","Autauga AL","Prattville CCD","Pine Level CDP, AL","99999","Prattville, AL","Autauga County School District",686,1 
"01","01001","92628","60264","36067","99999","00240","25,000-99,999","2500-9999","AL","Autauga AL","Prattville CCD","Pine Level CDP, AL","99999","Prattville, AL","Autauga County School District",704,1 
"01","01001","92628","62328","36066","99999","00240","25,000-99,999","25,000-99,999","AL","Autauga AL","Prattville CCD","Prattville city, AL","99999","Prattville, AL","Autauga County School District",15968,1 
"01","01001","92628","62328","36067","99999","00240","25,000-99,999","25,000-99,999","AL","Autauga AL","Prattville CCD","Prattville city, AL","99999","Prattville, AL","Autauga County School District",16200,1 
"01","01001","92628","99999","36022","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Prattville CCD"," ","99999","Deatsville, AL","Autauga County School District",596,1 
"01","01001","92628","99999","36066","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Prattville CCD"," ","99999","Prattville, AL","Autauga County School District",628,1 
"01","01001","92628","99999","36067","99999","00240","25,000-99,999","Not in a place","AL","Autauga AL","Prattville CCD"," ","99999","Prattville, AL","Autauga County School District",6504,1 
"01","01003","90207","04660","36507","99999","00270","100,000-249,999","2500-9999","AL","Baldwin AL","Bay Minette CCD","Bay Minette city, AL","99999","Bay Minette, AL","Baldwin County School District",8044,1 
"01","01003","90207","44608","36551","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Bay Minette CCD","Loxley town, AL","99999","Loxley, AL","Baldwin County School District",89,1 
"01","01003","90207","44608","36567","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Bay Minette CCD","Loxley town, AL","99999","Robertsdale, AL","Baldwin County School District",4,1 
"01","01003","90207","44608","36578","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Bay Minette CCD","Loxley town, AL","99999","Stapleton, AL (PO Boxes)","Baldwin County School District",115,1 
"01","01003","90207","71976","36507","99999","00270","100,000-249,999","2500-9999","AL","Baldwin AL","Bay Minette CCD","Spanish Fort city, AL","99999","Bay Minette, AL","Baldwin County School District",32,1 
"01","01003","90207","71976","36578","99999","00270","100,000-249,999","2500-9999","AL","Baldwin AL","Bay Minette CCD","Spanish Fort city, AL","99999","Stapleton, AL (PO Boxes)","Baldwin County School District",6,1 
"01","01003","90207","99999","36507","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Bay Minette CCD"," ","99999","Bay Minette, AL","Baldwin County School District",9927,1 
"01","01003","90207","99999","36527","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Bay Minette CCD"," ","99999","Spanish Fort, AL","Baldwin County School District",1260,1 
"01","01003","90207","99999","36551","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Bay Minette CCD"," ","99999","Loxley, AL","Baldwin County School District",466,1 
"01","01003","90207","99999","36562","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Bay Minette CCD"," ","99999","Perdido, AL","Baldwin County School District",865,1 
"01","01003","90207","99999","36567","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Bay Minette CCD"," ","99999","Robertsdale, AL","Baldwin County School District",1270,1 
"01","01003","90207","99999","36578","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Bay Minette CCD"," ","99999","Stapleton, AL (PO Boxes)","Baldwin County School District",1526,1 
"01","01003","90846","19648","36526","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Daphne CCD","Daphne city, AL","99999","Daphne, AL","Baldwin County School District",19891,1 
"01","01003","90846","19648","36527","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Daphne CCD","Daphne city, AL","99999","Spanish Fort, AL","Baldwin County School District",1675,1 
"01","01003","90846","19648","36532","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Daphne CCD","Daphne city, AL","99999","Fairhope, AL","Baldwin County School District",4,1 
"01","01003","90846","25240","36526","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Daphne CCD","Fairhope city, AL","99999","Daphne, AL","Baldwin County School District",121,1 
"01","01003","90846","25240","36532","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Daphne CCD","Fairhope city, AL","99999","Fairhope, AL","Baldwin County School District",1816,1 
"01","01003","90846","25240","36559","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Daphne CCD","Fairhope city, AL","99999","Montrose, AL (PO Boxes)","Baldwin County School District",20,1 
"01","01003","90846","44608","36527","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Daphne CCD","Loxley town, AL","99999","Spanish Fort, AL","Baldwin County School District",30,1 
"01","01003","90846","71976","36527","99999","00270","100,000-249,999","2500-9999","AL","Baldwin AL","Daphne CCD","Spanish Fort city, AL","99999","Spanish Fort, AL","Baldwin County School District",6760,1 
"01","01003","90846","99999","36526","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Daphne CCD"," ","99999","Daphne, AL","Baldwin County School District",7878,1 
"01","01003","90846","99999","36527","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Daphne CCD"," ","99999","Spanish Fort, AL","Baldwin County School District",2384,1 
"01","01003","90846","99999","36532","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Daphne CCD"," ","99999","Fairhope, AL","Baldwin County School District",249,1 
"01","01003","90846","99999","36551","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Daphne CCD"," ","99999","Loxley, AL","Baldwin County School District",179,1 
"01","01003","90846","99999","36559","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Daphne CCD"," ","99999","Montrose, AL (PO Boxes)","Baldwin County School District",186,1 
"01","01003","90846","99999","36578","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Daphne CCD"," ","99999","Stapleton, AL (PO Boxes)","Baldwin County School District",102,1 
"01","01003","90963","23320","36530","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Elberta CCD","Elberta town, AL","99999","Elberta, AL","Baldwin County School District",1498,1 
"01","01003","90963","26992","36530","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Elberta CCD","Foley city, AL","99999","Elberta, AL","Baldwin County School District",151,1 
"01","01003","90963","57144","36530","99999","00270","100,000-249,999","2500-9999","AL","Baldwin AL","Elberta CCD","Orange Beach city, AL","99999","Elberta, AL","Baldwin County School District",88,1 
"01","01003","90963","59088","36530","99999","00270","100,000-249,999","200-999","AL","Baldwin AL","Elberta CCD","Perdido Beach town, AL","99999","Elberta, AL","Baldwin County School District",581,1 
"01","01003","90963","73872","36580","99999","00270","100,000-249,999","200-999","AL","Baldwin AL","Elberta CCD","Summerdale town, AL","99999","Summerdale, AL","Baldwin County School District",29,1 
"01","01003","90963","99999","36530","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Elberta CCD"," ","99999","Elberta, AL","Baldwin County School District",4243,1 
"01","01003","90963","99999","36535","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Elberta CCD"," ","99999","Foley, AL","Baldwin County School District",47,1 
"01","01003","90963","99999","36549","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Elberta CCD"," ","99999","Lillian, AL","Baldwin County School District",4271,1 
"01","01003","90963","99999","36580","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Elberta CCD"," ","99999","Summerdale, AL","Baldwin County School District",49,1 
"01","01003","91053","25240","36532","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Fairhope CCD","Fairhope city, AL","99999","Fairhope, AL","Baldwin County School District",13369,1 
"01","01003","91053","61488","36532","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Fairhope CCD","Point Clear CDP, AL","99999","Fairhope, AL","Baldwin County School District",2018,1 
"01","01003","91053","61488","36564","99999","00270","100,000-249,999","1000-2499","AL","Baldwin AL","Fairhope CCD","Point Clear CDP, AL","99999","Point Clear, AL","Baldwin County School District",107,1 
"01","01003","91053","99999","36532","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Fairhope CCD"," ","99999","Fairhope, AL","Baldwin County School District",10373,1 
"01","01003","91053","99999","36559","99999","00270","100,000-249,999","Not in a place","AL","Baldwin AL","Fairhope CCD"," ","99999","Montrose, AL (PO Boxes)","Baldwin County School District",27,1 
"01","01003","91152","26992","36530","99999","00270","100,000-249,999","10,000-24,999","AL","Baldwin AL","Foley CCD","Foley city, AL","99999","Elberta, AL","Baldwin County School District",1,1 
