"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"09","09001","04720","04790","06801","99999","00270","250,000-999,999","2500-9999","CT","Fairfield CT","Bethel town","Bethel CDP, CT","99999","Bethel, CT","Bethel School District",9542,1 
"09","09001","04720","04790","06810","99999","00270","250,000-999,999","2500-9999","CT","Fairfield CT","Bethel town","Bethel CDP, CT","99999","Danbury, CT","Bethel School District",7,1 
"09","09001","04720","99999","06801","99999","00270","250,000-999,999","Not in a place","CT","Fairfield CT","Bethel town"," ","99999","Bethel, CT","Bethel School District",9017,1 
"09","09001","04720","99999","06810","99999","00270","250,000-999,999","Not in a place","CT","Fairfield CT","Bethel town"," ","99999","Danbury, CT","Bethel School District",18,1 
"09","09001","08070","08000","06604","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Bridgeport, CT","Bridgeport School District",30313,1 
"09","09001","08070","08000","06605","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Bridgeport, CT","Bridgeport School District",23397,1 
"09","09001","08070","08000","06606","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Bridgeport, CT","Bridgeport School District",46236,1 
"09","09001","08070","08000","06607","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Bridgeport, CT","Bridgeport School District",7843,1 
"09","09001","08070","08000","06608","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Bridgeport, CT","Bridgeport School District",13671,1 
"09","09001","08070","08000","06610","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Bridgeport, CT","Bridgeport School District",22735,1 
"09","09001","08070","08000","06611","99999","00450","250,000-999,999","100,000-249,999","CT","Fairfield CT","Bridgeport town","Bridgeport city, CT","99999","Trumbull, CT","Bridgeport School District",34,1 
"09","09001","08980","99999","06801","99999","00540","250,000-999,999","Not in a place","CT","Fairfield CT","Brookfield town"," ","99999","Bethel, CT","Brookfield School District",22,1 
"09","09001","08980","99999","06804","99999","00540","250,000-999,999","Not in a place","CT","Fairfield CT","Brookfield town"," ","99999","Brookfield, CT","Brookfield School District",16430,1 
"09","09001","18500","18430","06804","99999","01020","250,000-999,999","25,000-99,999","CT","Fairfield CT","Danbury town","Danbury city, CT","99999","Brookfield, CT","Danbury School District",36,1 
"09","09001","18500","18430","06810","99999","01020","250,000-999,999","25,000-99,999","CT","Fairfield CT","Danbury town","Danbury city, CT","99999","Danbury, CT","Danbury School District",49457,1 
"09","09001","18500","18430","06811","99999","01020","250,000-999,999","25,000-99,999","CT","Fairfield CT","Danbury town","Danbury city, CT","99999","Danbury, CT","Danbury School District",31400,1 
"09","09001","18850","18920","06820","99999","01050","250,000-999,999","10,000-24,999","CT","Fairfield CT","Darien town","Darien CDP, CT","99999","Darien, CT","Darien School District",20732,1 
"09","09001","23890","99999","06611","99999"," ","250,000-999,999","Not in a place","CT","Fairfield CT","Easton town"," ","99999","Trumbull, CT","09",37,1 
"09","09001","23890","99999","06612","99999"," ","250,000-999,999","Not in a place","CT","Fairfield CT","Easton town"," ","99999","Easton, CT","09",7453,1 
"09","09001","26620","71040","06890","99999","01530","250,000-999,999","1000-2499","CT","Fairfield CT","Fairfield town","Southport CDP, CT","99999","Southport, CT","Fairfield School District",1585,1 
"09","09001","26620","99999","06824","99999","01530","250,000-999,999","Not in a place","CT","Fairfield CT","Fairfield town"," ","99999","Fairfield, CT","Fairfield School District",33900,1 
"09","09001","26620","99999","06825","99999","01530","250,000-999,999","Not in a place","CT","Fairfield CT","Fairfield town"," ","99999","Fairfield, CT","Fairfield School District",21123,1 
"09","09001","26620","99999","06880","99999","01530","250,000-999,999","Not in a place","CT","Fairfield CT","Fairfield town"," ","99999","Westport, CT","Fairfield School District",75,1 
"09","09001","26620","99999","06890","99999","01530","250,000-999,999","Not in a place","CT","Fairfield CT","Fairfield town"," ","99999","Southport, CT","Fairfield School District",2721,1 
