"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"16","16001","90345","08830","83616","99999","02100","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Eagle, ID","Meridian Joint School District 2",17,1 
"16","16001","90345","08830","83646","99999","02100","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Meridian, ID","Meridian Joint School District 2",11,1 
"16","16001","90345","08830","83702","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Boise City Independent School District 1",21807,1 
"16","16001","90345","08830","83703","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Boise City Independent School District 1",15635,1 
"16","16001","90345","08830","83704","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Boise City Independent School District 1",28932,1 
"16","16001","90345","08830","83704","99999","02100","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Meridian Joint School District 2",10696,1 
"16","16001","90345","08830","83705","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Boise City Independent School District 1",26625,1 
"16","16001","90345","08830","83706","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Boise City Independent School District 1",29732,1 
"16","16001","90345","08830","83709","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise, ID","Boise City Independent School District 1",15041,1 
"16","16001","90345","08830","83709","99999","02100","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise, ID","Meridian Joint School District 2",5723,1 
"16","16001","90345","08830","83712","99999","00360","250,000-999,999","100,000-249,999","ID","Ada ID","Boise City CCD","Boise City city, ID","99999","Boise City, ID","Boise City Independent School District 1",8078,1 
