"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"17","17001","05742","99999","62312","99999","22770","25,000-99,999","Not in a place","IL","Adams IL","Beverly township"," ","99999","Barry, IL","Liberty Community Unit School District 2",127,1 
"17","17001","05742","99999","62314","99999","17790","25,000-99,999","Not in a place","IL","Adams IL","Beverly township"," ","99999","Baylis, IL","Griggsville-Perry Community Unit School District 4",3,1 
"17","17001","05742","99999","62314","99999","22770","25,000-99,999","Not in a place","IL","Adams IL","Beverly township"," ","99999","Baylis, IL","Liberty Community Unit School District 2",69,1 
"17","17001","05742","99999","62347","99999","22770","25,000-99,999","Not in a place","IL","Adams IL","Beverly township"," ","99999","Liberty, IL","Liberty Community Unit School District 2",207,1 
"17","17001","10019","99999","62305","99999","22770","25,000-99,999","Not in a place","IL","Adams IL","Burton township"," ","99999","Quincy, IL","Liberty Community Unit School District 2",167,1 
"17","17001","10019","99999","62305","99999","30990","25,000-99,999","Not in a place","IL","Adams IL","Burton township"," ","99999","Quincy, IL","Payson Community Unit School District 1",338,1 
"17","17001","10019","99999","62347","99999","22770","25,000-99,999","Not in a place","IL","Adams IL","Burton township"," ","99999","Liberty, IL","Liberty Community Unit School District 2",231,1 
"17","17001","10019","99999","62347","99999","30990","25,000-99,999","Not in a place","IL","Adams IL","Burton township"," ","99999","Liberty, IL","Payson Community Unit School District 1",173,1 
"17","17001","10890","10877","62320","99999","08220","25,000-99,999","1000-2499","IL","Adams IL","Camp Point township","Camp Point village, IL","99999","Camp Point, IL","Camp Point Community Unit School District 3",1132,1 
