"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"25","25001","03690","03690","02601","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",14089,1 
"25","25001","03690","03690","02630","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",1850,1 
"25","25001","03690","03690","02632","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",10742,1 
"25","25001","03690","03690","02635","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",3296,1 
"25","25001","03690","03690","02637","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",253,1 
"25","25001","03690","03690","02647","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",129,1 
"25","25001","03690","03690","02648","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",7301,1 
"25","25001","03690","03690","02655","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",3518,1 
"25","25001","03690","03690","02668","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",3278,1 
"25","25001","03690","03690","02672","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Barnstable Town, MA","Barnstable School District",180,1 
"25","25001","03690","03690","02673","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","West Yarmouth, MA","Barnstable School District",6,1 
"25","25001","03690","03690","02675","99999","02310","100,000-249,999","25,000-99,999","MA","Barnstable MA","Barnstable Town city","Barnstable Town city, MA","99999","Yarmouth Port, MA","Barnstable School District",551,1 
"25","25001","07175","07140","02532","99999","02820","100,000-249,999","1000-2499","MA","Barnstable MA","Bourne town","Bourne CDP, MA","99999","Buzzards Bay, MA","Bourne School District",1418,1 
"25","25001","07175","10015","02532","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Buzzards Bay CDP, MA","99999","Buzzards Bay, MA","Bourne School District",3859,1 
"25","25001","07175","42670","02532","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Monument Beach CDP, MA","99999","Buzzards Bay, MA","Bourne School District",2288,1 
"25","25001","07175","42670","02553","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Monument Beach CDP, MA","99999","Monument Beach, MA","Bourne School District",226,1 
"25","25001","07175","42670","02559","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Monument Beach CDP, MA","99999","Pocasset, MA","Bourne School District",276,1 
"25","25001","07175","54450","02534","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Pocasset CDP, MA","99999","Cataumet, MA (PO Boxes)","Bourne School District",67,1 
"25","25001","07175","54450","02559","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Pocasset CDP, MA","99999","Pocasset, MA","Bourne School District",2784,1 
"25","25001","07175","58965","02532","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Sagamore CDP, MA","99999","Buzzards Bay, MA","Bourne School District",155,1 
"25","25001","07175","58965","02561","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Sagamore CDP, MA","99999","Sagamore, MA","Bourne School District",539,1 
"25","25001","07175","58965","02562","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Sagamore CDP, MA","99999","Sagamore, MA","Bourne School District",2912,1 
"25","25001","07175","58965","02563","99999","02820","100,000-249,999","2500-9999","MA","Barnstable MA","Bourne town","Sagamore CDP, MA","99999","Sandwich, MA","Bourne School District",17,1 
"25","25001","07175","99999","02532","99999","02820","100,000-249,999","Not in a place","MA","Barnstable MA","Bourne town"," ","99999","Buzzards Bay, MA","Bourne School District",3003,1 
"25","25001","07175","99999","02534","99999","02820","100,000-249,999","Not in a place","MA","Barnstable MA","Bourne town"," ","99999","Cataumet, MA (PO Boxes)","Bourne School District",775,1 
"25","25001","07175","99999","02542","99999","02820","100,000-249,999","Not in a place","MA","Barnstable MA","Bourne town"," ","99999","Buzzards Bay, MA","Bourne School District",1119,1 
"25","25001","07175","99999","02559","99999","02820","100,000-249,999","Not in a place","MA","Barnstable MA","Bourne town"," ","99999","Pocasset, MA","Bourne School District",316,1 
"25","25001","07980","07945","02631","99999"," ","100,000-249,999","1000-2499","MA","Barnstable MA","Brewster town","Brewster CDP, MA","99999","Brewster, MA","25",2000,1 
"25","25001","07980","99999","02631","99999"," ","100,000-249,999","Not in a place","MA","Barnstable MA","Brewster town"," ","99999","Brewster, MA","25",7660,1 
"25","25001","07980","99999","02645","99999"," ","100,000-249,999","Not in a place","MA","Barnstable MA","Brewster town"," ","99999","East Harwich, MA","25",94,1 
"25","25001","07980","99999","02653","99999"," ","100,000-249,999","Not in a place","MA","Barnstable MA","Brewster town"," ","99999","Orleans, MA","25",66,1 
