"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"29","29001","04546","39026","63501","99999","16740","25,000-99,999","10,000-24,999","MO","Adair MO","Benton township","Kirksville city, MO","99999","Kirksville, MO","Kirksville R-III School District",17505,1 
"29","29001","04546","99999","63501","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Benton township"," ","99999","Kirksville, MO","Kirksville R-III School District",2178,1 
"29","29001","04546","99999","63501","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Benton township"," ","99999","Kirksville, MO","Adair County R-I School District",13,1 
"29","29001","04546","99999","63546","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Benton township"," ","99999","Greentop, MO","Kirksville R-III School District",4,1 
"29","29001","14248","99999","63501","99999","05790","25,000-99,999","Not in a place","MO","Adair MO","Clay township"," ","99999","Kirksville, MO","Adair County R-II School District",41,1 
"29","29001","14248","99999","63501","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Clay township"," ","99999","Kirksville, MO","Kirksville R-III School District",217,1 
"29","29001","14248","99999","63533","99999","05790","25,000-99,999","Not in a place","MO","Adair MO","Clay township"," ","99999","Brashear, MO","Adair County R-II School District",127,1 
"29","29001","14248","99999","63546","99999","05790","25,000-99,999","Not in a place","MO","Adair MO","Clay township"," ","99999","Greentop, MO","Adair County R-II School District",159,1 
"29","29001","14248","99999","63546","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Clay township"," ","99999","Greentop, MO","Kirksville R-III School District",82,1 
"29","29001","41924","99999","63544","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Liberty township"," ","99999","Green Castle, MO","Adair County R-I School District",45,1 
"29","29001","41924","99999","63559","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Liberty township"," ","99999","Novinger, MO","Adair County R-I School District",279,1 
"29","29001","50096","99999","63544","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Morrow township"," ","99999","Green Castle, MO","Adair County R-I School District",283,1 
"29","29001","50096","99999","63559","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Morrow township"," ","99999","Novinger, MO","Adair County R-I School District",148,1 
"29","29001","52526","53534","63559","99999","22980","25,000-99,999","200-999","MO","Adair MO","Nineveh township","Novinger city, MO","99999","Novinger, MO","Adair County R-I School District",456,1 
"29","29001","52526","99999","63501","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Nineveh township"," ","99999","Kirksville, MO","Kirksville R-III School District",130,1 
"29","29001","52526","99999","63501","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Nineveh township"," ","99999","Kirksville, MO","Adair County R-I School District",227,1 
"29","29001","52526","99999","63546","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Nineveh township"," ","99999","Greentop, MO","Kirksville R-III School District",71,1 
"29","29001","52526","99999","63546","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Nineveh township"," ","99999","Greentop, MO","Adair County R-I School District",27,1 
"29","29001","52526","99999","63559","99999","22980","25,000-99,999","Not in a place","MO","Adair MO","Nineveh township"," ","99999","Novinger, MO","Adair County R-I School District",378,1 
"29","29001","57224","48134","63501","99999","16740","25,000-99,999","Less than 200","MO","Adair MO","Pettis township","Millard village, MO","99999","Kirksville, MO","Kirksville R-III School District",89,1 
"29","29001","57224","99999","63501","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Pettis township"," ","99999","Kirksville, MO","Kirksville R-III School District",508,1 
"29","29001","57224","99999","63501","99999","16950","25,000-99,999","Not in a place","MO","Adair MO","Pettis township"," ","99999","Kirksville, MO","La Plata R-II School District",30,1 
"29","29001","57224","99999","63549","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Pettis township"," ","99999","La Plata, MO","Kirksville R-III School District",9,1 
"29","29001","57224","99999","63549","99999","16950","25,000-99,999","Not in a place","MO","Adair MO","Pettis township"," ","99999","La Plata, MO","La Plata R-II School District",159,1 
"29","29001","58682","29422","63546","99999","16740","25,000-99,999","200-999","MO","Adair MO","Polk township","Greentop city, MO","99999","Greentop, MO","Kirksville R-III School District",85,1 
"29","29001","58682","99999","63501","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Polk township"," ","99999","Kirksville, MO","Kirksville R-III School District",5,1 
"29","29001","58682","99999","63546","99999","16740","25,000-99,999","Not in a place","MO","Adair MO","Polk township"," ","99999","Greentop, MO","Kirksville R-III School District",549,1 
