"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"30","30001","90273","81250","59761","99999"," ","2500-9999","Less than 200","MT","Beaverhead MT","Big Hole Basin CCD","Wisdom CDP, MT","99999","Wisdom, MT","30",98,1 
"30","30001","90273","99999","59727","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Big Hole Basin CCD"," ","99999","Butte-Silver Bow, MT","30",39,1 
"30","30001","90273","99999","59736","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Big Hole Basin CCD"," ","99999","Jackson, MT","30",127,1 
"30","30001","90273","99999","59761","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Big Hole Basin CCD"," ","99999","Wisdom, MT","30",167,1 
"30","30001","90273","99999","59762","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Big Hole Basin CCD"," ","99999","Wise River, MT","30",184,1 
"30","30001","90651","99999","59724","99999","16710","2500-9999","Not in a place","MT","Beaverhead MT","Clark Canyon-Horse Prairie CCD"," ","99999","Dell, MT","Lima K-12 Schools",95,1 
"30","30001","90651","99999","59725","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Clark Canyon-Horse Prairie CCD"," ","99999","Dillon, MT","30",241,1 
"30","30001","90651","99999","59725","99999","16710","2500-9999","Not in a place","MT","Beaverhead MT","Clark Canyon-Horse Prairie CCD"," ","99999","Dillon, MT","Lima K-12 Schools",40,1 
"30","30001","90924","20800","59725","99999"," ","2500-9999","2500-9999","MT","Beaverhead MT","Dillon CCD","Dillon city, MT","99999","Dillon, MT","30",4134,1 
"30","30001","90924","99999","59725","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Dillon CCD"," ","99999","Dillon, MT","30",3542,1 
"30","30001","90924","99999","59732","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Dillon CCD"," ","99999","Glen, MT","30",91,1 
"30","30001","90924","99999","59743","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Dillon CCD"," ","99999","Butte-Silver Bow, MT","30",21,1 
"30","30001","90924","99999","59746","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Dillon CCD"," ","99999","Polaris, MT","30",92,1 
"30","30001","92079","43525","59739","99999","16710","2500-9999","200-999","MT","Beaverhead MT","Lima-Centennial Valley CCD","Lima town, MT","99999","Lima, MT","Lima K-12 Schools",221,1 
"30","30001","92079","99999","59724","99999","16710","2500-9999","Not in a place","MT","Beaverhead MT","Lima-Centennial Valley CCD"," ","99999","Dell, MT","Lima K-12 Schools",33,1 
"30","30001","92079","99999","59725","99999"," ","2500-9999","Not in a place","MT","Beaverhead MT","Lima-Centennial Valley CCD"," ","99999","Dillon, MT","30",2,1 
"30","30001","92079","99999","59739","99999","16710","2500-9999","Not in a place","MT","Beaverhead MT","Lima-Centennial Valley CCD"," ","99999","Lima, MT","Lima K-12 Schools",119,1 
"30","30003","90756","18250","59022","99999"," ","10,000-24,999","1000-2499","MT","Big Horn MT","Crow Reservation CCD","Crow Agency CDP, MT","99999","Crow Agency, MT","30",1616,1 
"30","30003","90756","28650","59035","99999"," ","10,000-24,999","Less than 200","MT","Big Horn MT","Crow Reservation CCD","Fort Smith CDP, MT","99999","Fort Smith, MT","30",161,1 
"30","30003","90756","44275","59050","99999"," ","10,000-24,999","200-999","MT","Big Horn MT","Crow Reservation CCD","Lodge Grass town, MT","99999","Lodge Grass, MT","30",428,1 
"30","30003","90756","59950","59066","99999"," ","10,000-24,999","200-999","MT","Big Horn MT","Crow Reservation CCD","Pryor CDP, MT","99999","Pryor, MT","30",610,1 
"30","30003","90756","59950","59101","99999"," ","10,000-24,999","200-999","MT","Big Horn MT","Crow Reservation CCD","Pryor CDP, MT","99999","Billings, MT","30",8,1 
"30","30003","90756","65650","59075","99999"," ","10,000-24,999","Less than 200","MT","Big Horn MT","Crow Reservation CCD","St. Xavier CDP, MT","99999","Saint Xavier, MT","30",83,1 
"30","30003","90756","82075","59089","99999"," ","10,000-24,999","200-999","MT","Big Horn MT","Crow Reservation CCD","Wyola CDP, MT","99999","Wyola, MT","30",215,1 
"30","30003","90756","99999","59016","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Busby, MT","30",26,1 
"30","30003","90756","99999","59022","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Crow Agency, MT","30",329,1 
"30","30003","90756","99999","59031","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Garryowen, MT (PO Boxes)","30",339,1 
"30","30003","90756","99999","59034","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Hardin, MT","30",808,1 
"30","30003","90756","99999","59035","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Fort Smith, MT","30",66,1 
"30","30003","90756","99999","59050","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Lodge Grass, MT","30",1287,1 
"30","30003","90756","99999","59066","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Pryor, MT","30",91,1 
"30","30003","90756","99999","59075","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Saint Xavier, MT","30",206,1 
"30","30003","90756","99999","59089","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Wyola, MT","30",252,1 
"30","30003","90756","99999","59101","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","Billings, MT","30",14,1 
"30","30003","90756","99999","99999","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Crow Reservation CCD"," ","99999","99999","30",14,1 
"30","30003","90850","99999","59016","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Decker CCD"," ","99999","Busby, MT","30",51,1 
"30","30003","90850","99999","59025","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Decker CCD"," ","99999","Decker, MT","30",56,1 
"30","30003","90850","99999","82801","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Decker CCD"," ","99999","Sheridan, WY","30",12,1 
"30","30003","91617","34225","59034","99999"," ","10,000-24,999","2500-9999","MT","Big Horn MT","Hardin CCD","Hardin city, MT","99999","Hardin, MT","30",3505,1 
"30","30003","91617","99999","59010","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Hardin CCD"," ","99999","Bighorn, MT","30",48,1 
"30","30003","91617","99999","59024","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Hardin CCD"," ","99999","Custer, MT","30",37,1 
"30","30003","91617","99999","59034","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Hardin CCD"," ","99999","Hardin, MT","30",876,1 
"30","30003","91617","99999","59038","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Hardin CCD"," ","99999","Hysham, MT","30",25,1 
"30","30003","91617","99999","59064","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Hardin CCD"," ","99999","Pompeys Pillar, MT","30",31,1 
"30","30003","92436","11200","59016","99999"," ","10,000-24,999","200-999","MT","Big Horn MT","Northern Cheyenne Reservation CCD","Busby CDP, MT","99999","Busby, MT","30",745,1 
"30","30003","92436","52315","59043","99999"," ","10,000-24,999","200-999","MT","Big Horn MT","Northern Cheyenne Reservation CCD","Muddy CDP, MT","99999","Lame Deer, MT","30",617,1 
"30","30003","92436","99999","59016","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Northern Cheyenne Reservation CCD"," ","99999","Busby, MT","30",267,1 
"30","30003","92436","99999","59043","99999"," ","10,000-24,999","Not in a place","MT","Big Horn MT","Northern Cheyenne Reservation CCD"," ","99999","Lame Deer, MT","30",42,1 
"30","30005","90588","14575","59523","99999"," ","2500-9999","1000-2499","MT","Blaine MT","Chinook CCD","Chinook city, MT","99999","Chinook, MT","30",1203,1 
"30","30005","90588","99999","59523","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Chinook CCD"," ","99999","Chinook, MT","30",1079,1 
"30","30005","90588","99999","59526","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Chinook CCD"," ","99999","Fort Belknap Agency, MT","30",16,1 
"30","30005","90588","99999","59535","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Chinook CCD"," ","99999","Lloyd, MT","30",74,1 
"30","30005","90588","99999","59547","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Chinook CCD"," ","99999","Zurich, MT (PO Boxes)","30",38,1 
"30","30005","91176","27850","59526","99999"," ","2500-9999","1000-2499","MT","Blaine MT","Fort Belknap CCD","Fort Belknap Agency CDP, MT","99999","Fort Belknap Agency, MT","30",1293,1 
"30","30005","91176","35275","59524","99999","13660","2500-9999","200-999","MT","Blaine MT","Fort Belknap CCD","Hays CDP, MT","99999","Dodson, MT","Hays-Lodge Pole K-12 Schools",6,1 
"30","30005","91176","35275","59527","99999","13660","2500-9999","200-999","MT","Blaine MT","Fort Belknap CCD","Hays CDP, MT","99999","Hays, MT","Hays-Lodge Pole K-12 Schools",837,1 
"30","30005","91176","44350","59524","99999","13660","2500-9999","200-999","MT","Blaine MT","Fort Belknap CCD","Lodge Pole CDP, MT","99999","Dodson, MT","Hays-Lodge Pole K-12 Schools",265,1 
"30","30005","91176","99999","59524","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Fort Belknap CCD"," ","99999","Dodson, MT","30",8,1 
"30","30005","91176","99999","59524","99999","13660","2500-9999","Not in a place","MT","Blaine MT","Fort Belknap CCD"," ","99999","Dodson, MT","Hays-Lodge Pole K-12 Schools",49,1 
"30","30005","91176","99999","59526","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Fort Belknap CCD"," ","99999","Fort Belknap Agency, MT","30",105,1 
"30","30005","91176","99999","59526","99999","13660","2500-9999","Not in a place","MT","Blaine MT","Fort Belknap CCD"," ","99999","Fort Belknap Agency, MT","Hays-Lodge Pole K-12 Schools",28,1 
"30","30005","91176","99999","59527","99999","13660","2500-9999","Not in a place","MT","Blaine MT","Fort Belknap CCD"," ","99999","Hays, MT","Hays-Lodge Pole K-12 Schools",137,1 
"30","30005","91638","34375","59526","99999"," ","2500-9999","200-999","MT","Blaine MT","Harlem CCD","Harlem city, MT","99999","Fort Belknap Agency, MT","30",808,1 
"30","30005","91638","75250","59542","99999"," ","2500-9999","Less than 200","MT","Blaine MT","Harlem CCD","Turner CDP, MT","99999","Turner, MT","30",61,1 
"30","30005","91638","99999","59523","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Harlem CCD"," ","99999","Chinook, MT","30",5,1 
"30","30005","91638","99999","59526","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Harlem CCD"," ","99999","Fort Belknap Agency, MT","30",185,1 
"30","30005","91638","99999","59529","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Harlem CCD"," ","99999","Hogeland, MT","30",163,1 
"30","30005","91638","99999","59542","99999"," ","2500-9999","Not in a place","MT","Blaine MT","Harlem CCD"," ","99999","Turner, MT","30",131,1 
"30","30007","93570","74500","59643","99999","04980","2500-9999","Less than 200","MT","Broadwater MT","Townsend East CCD","Toston CDP, MT","99999","Toston, MT","Townsend K-12 Schools",81,1 
"30","30007","93570","74575","59644","99999","04980","2500-9999","1000-2499","MT","Broadwater MT","Townsend East CCD","Townsend city, MT","99999","Townsend, MT","Townsend K-12 Schools",1878,1 
"30","30007","93570","99999","59643","99999","04980","2500-9999","Not in a place","MT","Broadwater MT","Townsend East CCD"," ","99999","Toston, MT","Townsend K-12 Schools",29,1 
"30","30007","93570","99999","59644","99999","04980","2500-9999","Not in a place","MT","Broadwater MT","Townsend East CCD"," ","99999","Townsend, MT","Townsend K-12 Schools",1427,1 
"30","30007","93591","60475","59643","99999","04980","2500-9999","Less than 200","MT","Broadwater MT","Townsend West CCD","Radersburg CDP, MT","99999","Toston, MT","Townsend K-12 Schools",66,1 
"30","30007","93591","69900","59635","99999","04980","2500-9999","200-999","MT","Broadwater MT","Townsend West CCD","Spokane Creek CDP, MT","99999","Helena Valley Southeast, MT","Townsend K-12 Schools",230,1 
"30","30007","93591","69900","59647","99999","04980","2500-9999","200-999","MT","Broadwater MT","Townsend West CCD","Spokane Creek CDP, MT","99999","Winston, MT","Townsend K-12 Schools",125,1 
"30","30007","93591","73760","59644","99999","04980","2500-9999","200-999","MT","Broadwater MT","Townsend West CCD","The Silos CDP, MT","99999","Townsend, MT","Townsend K-12 Schools",506,1 
"30","30007","93591","74500","59643","99999","04980","2500-9999","Less than 200","MT","Broadwater MT","Townsend West CCD","Toston CDP, MT","99999","Toston, MT","Townsend K-12 Schools",27,1 
"30","30007","93591","79695","59752","99999"," ","2500-9999","200-999","MT","Broadwater MT","Townsend West CCD","Wheatland CDP, MT","99999","Three Forks, MT","30",566,1 
"30","30007","93591","79695","59752","99999","04980","2500-9999","200-999","MT","Broadwater MT","Townsend West CCD","Wheatland CDP, MT","99999","Three Forks, MT","Townsend K-12 Schools",2,1 
"30","30007","93591","81175","59647","99999","04980","2500-9999","Less than 200","MT","Broadwater MT","Townsend West CCD","Winston CDP, MT","99999","Winston, MT","Townsend K-12 Schools",147,1 
"30","30007","93591","99999","59643","99999","04980","2500-9999","Not in a place","MT","Broadwater MT","Townsend West CCD"," ","99999","Toston, MT","Townsend K-12 Schools",234,1 
"30","30007","93591","99999","59644","99999","04980","2500-9999","Not in a place","MT","Broadwater MT","Townsend West CCD"," ","99999","Townsend, MT","Townsend K-12 Schools",225,1 
"30","30007","93591","99999","59647","99999","04980","2500-9999","Not in a place","MT","Broadwater MT","Townsend West CCD"," ","99999","Winston, MT","Townsend K-12 Schools",62,1 
"30","30007","93591","99999","59752","99999","04980","2500-9999","Not in a place","MT","Broadwater MT","Townsend West CCD"," ","99999","Three Forks, MT","Townsend K-12 Schools",7,1 
"30","30009","90976","99999","59008","99999","03270","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Belfry, MT","Belfry K-12 Schools",101,1 
"30","30009","90976","99999","59014","99999","03270","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Bridger, MT","Belfry K-12 Schools",69,1 
"30","30009","90976","99999","59014","99999","04800","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Bridger, MT","Bridger K-12 Schools",285,1 
"30","30009","90976","99999","59014","99999","11650","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Bridger, MT","Fromberg K-12 Schools",1,1 
"30","30009","90976","99999","59026","99999","11650","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Edgar, MT","Fromberg K-12 Schools",43,1 
"30","30009","90976","99999","59029","99999","11650","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Fromberg, MT","Fromberg K-12 Schools",182,1 
"30","30009","90976","99999","59041","99999"," ","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","Joliet, MT","30",28,1 
"30","30009","90976","99999","99999","99999","04800","10,000-24,999","Not in a place","MT","Carbon MT","East Carbon CCD"," ","99999","99999","Bridger K-12 Schools",2,1 
