"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"33","33001","01060","00980","03809","99999"," ","25,000-99,999","200-999","NH","Belknap NH","Alton town","Alton CDP, NH","99999","Alton, NH","33",501,1 
"33","33001","01060","99999","03809","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Alton town"," ","99999","Alton, NH","33",3215,1 
"33","33001","01060","99999","03810","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Alton town"," ","99999","Alton Bay, NH","33",1534,1 
"33","33001","03220","99999","03218","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Barnstead town"," ","99999","Barnstead, NH (PO Boxes)","33",960,1 
"33","33001","03220","99999","03225","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Barnstead town"," ","99999","Center Barnstead, NH","33",3633,1 
"33","33001","04740","04660","03220","99999","06180","25,000-99,999","1000-2499","NH","Belknap NH","Belmont town","Belmont CDP, NH","99999","Belmont, NH","Shaker Regional School District",1301,1 
"33","33001","04740","99999","03220","99999","06180","25,000-99,999","Not in a place","NH","Belknap NH","Belmont town"," ","99999","Belmont, NH","Shaker Regional School District",6048,1 
"33","33001","04740","99999","03246","99999","06180","25,000-99,999","Not in a place","NH","Belknap NH","Belmont town"," ","99999","Laconia, NH","Shaker Regional School District",7,1 
"33","33001","10660","99999","03226","99999","03960","25,000-99,999","Not in a place","NH","Belknap NH","Center Harbor town"," ","99999","Center Harbor, NH","Inter-Lakes School District",1096,1 
"33","33001","28740","99999","03246","99999","03180","25,000-99,999","Not in a place","NH","Belknap NH","Gilford town"," ","99999","Laconia, NH","Gilford School District",13,1 
"33","33001","28740","99999","03249","99999","03180","25,000-99,999","Not in a place","NH","Belknap NH","Gilford town"," ","99999","Gilford, NH","Gilford School District",7113,1 
"33","33001","28980","99999","03237","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Gilmanton town"," ","99999","Gilmanton, NH","33",2254,1 
"33","33001","28980","99999","03810","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Gilmanton town"," ","99999","Alton Bay, NH","33",4,1 
"33","33001","28980","99999","03837","99999"," ","25,000-99,999","Not in a place","NH","Belknap NH","Gilmanton town"," ","99999","Gilmanton Iron Works, NH","33",1519,1 
"33","33001","40180","40180","03246","99999","04140","25,000-99,999","10,000-24,999","NH","Belknap NH","Laconia city","Laconia city, NH","99999","Laconia, NH","Laconia School District",15943,1 
"33","33001","40180","40180","03253","99999","04140","25,000-99,999","10,000-24,999","NH","Belknap NH","Laconia city","Laconia city, NH","99999","Meredith, NH","Laconia School District",8,1 
"33","33001","47140","47060","03253","99999","03960","25,000-99,999","1000-2499","NH","Belknap NH","Meredith town","Meredith CDP, NH","99999","Meredith, NH","Inter-Lakes School District",1718,1 
"33","33001","47140","99999","03226","99999","03960","25,000-99,999","Not in a place","NH","Belknap NH","Meredith town"," ","99999","Center Harbor, NH","Inter-Lakes School District",21,1 
"33","33001","47140","99999","03253","99999","03960","25,000-99,999","Not in a place","NH","Belknap NH","Meredith town"," ","99999","Meredith, NH","Inter-Lakes School District",4485,1 
"33","33001","47140","99999","03254","99999","03960","25,000-99,999","Not in a place","NH","Belknap NH","Meredith town"," ","99999","Moultonborough, NH","Inter-Lakes School District",5,1 
"33","33001","47140","99999","03256","99999","03960","25,000-99,999","Not in a place","NH","Belknap NH","Meredith town"," ","99999","New Hampton, NH","Inter-Lakes School District",12,1 
"33","33001","51540","51460","03256","99999","05220","25,000-99,999","200-999","NH","Belknap NH","New Hampton town","New Hampton CDP, NH","99999","New Hampton, NH","Newfound Area School District",351,1 
"33","33001","51540","99999","03253","99999","05220","25,000-99,999","Not in a place","NH","Belknap NH","New Hampton town"," ","99999","Meredith, NH","Newfound Area School District",8,1 
"33","33001","51540","99999","03256","99999","05220","25,000-99,999","Not in a place","NH","Belknap NH","New Hampton town"," ","99999","New Hampton, NH","Newfound Area School District",1806,1 
"33","33001","67300","99999","03269","99999","07300","25,000-99,999","Not in a place","NH","Belknap NH","Sanbornton town"," ","99999","Sanbornton, NH","Winnisquam Regional School District",2966,1 
"33","33001","77060","77100","03276","99999","07300","25,000-99,999","2500-9999","NH","Belknap NH","Tilton town","Tilton Northfield CDP, NH","99999","Tilton, NH","Winnisquam Regional School District",1619,1 
"33","33001","77060","99999","03276","99999","07300","25,000-99,999","Not in a place","NH","Belknap NH","Tilton town"," ","99999","Tilton, NH","Winnisquam Regional School District",1948,1 
"33","33003","00420","99999","03818","99999","01350","25,000-99,999","Not in a place","NH","Carroll NH","Albany town"," ","99999","Conway, NH","Albany School District",726,1 
"33","33003","00420","99999","03886","99999","01350","25,000-99,999","Not in a place","NH","Carroll NH","Albany town"," ","99999","Tamworth, NH","Albany School District",9,1 
"33","33003","03700","03620","03812","99999"," ","25,000-99,999","200-999","NH","Carroll NH","Bartlett town","Bartlett CDP, NH","99999","Bartlett, NH (PO Boxes)","33",373,1 
"33","33003","03700","99999","03812","99999"," ","25,000-99,999","Not in a place","NH","Carroll NH","Bartlett town"," ","99999","Bartlett, NH (PO Boxes)","33",410,1 
"33","33003","03700","99999","03838","99999"," ","25,000-99,999","Not in a place","NH","Carroll NH","Bartlett town"," ","99999","Glen, NH","33",1031,1 
"33","33003","03700","99999","03845","99999"," ","25,000-99,999","Not in a place","NH","Carroll NH","Bartlett town"," ","99999","Intervale, NH","33",932,1 
"33","33003","03700","99999","03860","99999"," ","25,000-99,999","Not in a place","NH","Carroll NH","Bartlett town"," ","99999","North Conway, NH","33",42,1 
"33","33003","07940","99999","03872","99999","03330","25,000-99,999","Not in a place","NH","Carroll NH","Brookfield town"," ","99999","Sanbornville, NH","Governor Wentworth Regional School District",712,1 
"33","33003","11780","99999","03813","99999","02200","25,000-99,999","Not in a place","NH","Carroll NH","Chatham town"," ","99999","Center Conway, NH","Chatham School District",337,1 
"33","33003","14660","14580","03818","99999","02490","25,000-99,999","1000-2499","NH","Carroll NH","Conway town","Conway CDP, NH","99999","Conway, NH","Conway School District",1788,1 
