"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"37","37001","93292","99999","27215","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 1, Patterson"," ","99999","Burlington, NC","Alamance-Burlington Schools",225,1 
"37","37001","93292","99999","27298","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 1, Patterson"," ","99999","Liberty, NC","Alamance-Burlington Schools",2211,1 
"37","37001","93292","99999","27349","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 1, Patterson"," ","99999","Snow Camp, NC","Alamance-Burlington Schools",2433,1 
"37","37001","93328","00640","27201","99999","00030","100,000-249,999","200-999","NC","Alamance NC","Township 2, Coble","Alamance village, NC","99999","Alamance, NC","Alamance-Burlington Schools",63,1 
"37","37001","93328","00640","27215","99999","00030","100,000-249,999","200-999","NC","Alamance NC","Township 2, Coble","Alamance village, NC","99999","Burlington, NC","Alamance-Burlington Schools",888,1 
"37","37001","93328","99999","27215","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 2, Coble"," ","99999","Burlington, NC","Alamance-Burlington Schools",3242,1 
"37","37001","93328","99999","27298","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 2, Coble"," ","99999","Liberty, NC","Alamance-Burlington Schools",250,1 
"37","37001","93328","99999","27349","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 2, Coble"," ","99999","Snow Camp, NC","Alamance-Burlington Schools",48,1 
"37","37001","93368","09060","27215","99999","00030","100,000-249,999","25,000-99,999","NC","Alamance NC","Township 3, Boone Station","Burlington city, NC","99999","Burlington, NC","Alamance-Burlington Schools",8222,1 
"37","37001","93368","09060","27244","99999","00030","100,000-249,999","25,000-99,999","NC","Alamance NC","Township 3, Boone Station","Burlington city, NC","99999","Elon, NC","Alamance-Burlington Schools",99,1 
"37","37001","93368","21095","27215","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Elon town, NC","99999","Burlington, NC","Alamance-Burlington Schools",765,1 
"37","37001","93368","21095","27217","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Elon town, NC","99999","Burlington, NC","Alamance-Burlington Schools",78,1 
"37","37001","93368","21095","27244","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Elon town, NC","99999","Elon, NC","Alamance-Burlington Schools",8572,1 
"37","37001","93368","21095","27249","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Elon town, NC","99999","Gibsonville, NC","Alamance-Burlington Schools",4,1 
"37","37001","93368","25980","27244","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Gibsonville town, NC","99999","Elon, NC","Alamance-Burlington Schools",180,1 
"37","37001","93368","25980","27249","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Gibsonville town, NC","99999","Gibsonville, NC","Alamance-Burlington Schools",2968,1 
"37","37001","93368","26460","27217","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Glen Raven CDP, NC","99999","Burlington, NC","Alamance-Burlington Schools",1072,1 
"37","37001","93368","26460","27244","99999","00030","100,000-249,999","2500-9999","NC","Alamance NC","Township 3, Boone Station","Glen Raven CDP, NC","99999","Elon, NC","Alamance-Burlington Schools",151,1 
"37","37001","93368","49600","27244","99999","00030","100,000-249,999","200-999","NC","Alamance NC","Township 3, Boone Station","Ossipee town, NC","99999","Elon, NC","Alamance-Burlington Schools",41,1 
"37","37001","93368","99999","27215","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 3, Boone Station"," ","99999","Burlington, NC","Alamance-Burlington Schools",1283,1 
"37","37001","93368","99999","27217","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 3, Boone Station"," ","99999","Burlington, NC","Alamance-Burlington Schools",555,1 
"37","37001","93368","99999","27244","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 3, Boone Station"," ","99999","Elon, NC","Alamance-Burlington Schools",1132,1 
"37","37001","93368","99999","27249","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 3, Boone Station"," ","99999","Gibsonville, NC","Alamance-Burlington Schools",105,1 
"37","37001","93444","01140","27244","99999","00030","100,000-249,999","200-999","NC","Alamance NC","Township 4, Morton","Altamahaw CDP, NC","99999","Elon, NC","Alamance-Burlington Schools",347,1 
"37","37001","93444","49600","27244","99999","00030","100,000-249,999","200-999","NC","Alamance NC","Township 4, Morton","Ossipee town, NC","99999","Elon, NC","Alamance-Burlington Schools",502,1 
"37","37001","93444","99999","27217","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 4, Morton"," ","99999","Burlington, NC","Alamance-Burlington Schools",2614,1 
"37","37001","93444","99999","27244","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 4, Morton"," ","99999","Elon, NC","Alamance-Burlington Schools",1652,1 
"37","37001","93444","99999","27249","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 4, Morton"," ","99999","Gibsonville, NC","Alamance-Burlington Schools",299,1 
"37","37001","93476","30260","27217","99999","00030","100,000-249,999","1000-2499","NC","Alamance NC","Township 5, Faucette","Haw River town, NC","99999","Burlington, NC","Alamance-Burlington Schools",44,1 
"37","37001","93476","99999","27217","99999","00030","100,000-249,999","Not in a place","NC","Alamance NC","Township 5, Faucette"," ","99999","Burlington, NC","Alamance-Burlington Schools",3295,1 
"37","37001","93520","09060","27215","99999","00030","100,000-249,999","25,000-99,999","NC","Alamance NC","Township 6, Graham","Burlington city, NC","99999","Burlington, NC","Alamance-Burlington Schools",1842,1 
"37","37001","93520","09060","27217","99999","00030","100,000-249,999","25,000-99,999","NC","Alamance NC","Township 6, Graham","Burlington city, NC","99999","Burlington, NC","Alamance-Burlington Schools",5089,1 
"37","37001","93520","09060","27253","99999","00030","100,000-249,999","25,000-99,999","NC","Alamance NC","Township 6, Graham","Burlington city, NC","99999","Graham, NC","Alamance-Burlington Schools",784,1 
