"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"44","44001","05140","99999","02806","99999","00030","25,000-99,999","Not in a place","RI","Bristol RI","Barrington town"," ","99999","Barrington, RI","Barrington School District",16310,1 
"44","44001","09280","99999","02809","99999","00065","25,000-99,999","Not in a place","RI","Bristol RI","Bristol town"," ","99999","Bristol, RI","Bristol-Warren Regional School District",22938,1 
"44","44001","09280","99999","02885","99999","00065","25,000-99,999","Not in a place","RI","Bristol RI","Bristol town"," ","99999","Warren, RI","Bristol-Warren Regional School District",16,1 
"44","44001","73760","99999","02885","99999","00065","25,000-99,999","Not in a place","RI","Bristol RI","Warren town"," ","99999","Warren, RI","Bristol-Warren Regional School District",10611,1 
"44","44003","18640","31240","02827","99999","00210","100,000-249,999","200-999","RI","Kent RI","Coventry town","Greene CDP, RI","99999","Greene, RI","Coventry School District",888,1 
"44","44003","18640","99999","02816","99999","00210","100,000-249,999","Not in a place","RI","Kent RI","Coventry town"," ","99999","Coventry, RI","Coventry School District",32605,1 
"44","44003","18640","99999","02827","99999","00210","100,000-249,999","Not in a place","RI","Kent RI","Coventry town"," ","99999","Greene, RI","Coventry School District",1284,1 
"44","44003","18640","99999","02831","99999","00210","100,000-249,999","Not in a place","RI","Kent RI","Coventry town"," ","99999","Hope, RI","Coventry School District",136,1 
"44","44003","18640","99999","02893","99999","00210","100,000-249,999","Not in a place","RI","Kent RI","Coventry town"," ","99999","West Warwick, RI","Coventry School District",101,1 
"44","44003","22240","99999","02818","99999","00300","100,000-249,999","Not in a place","RI","Kent RI","East Greenwich town"," ","99999","East Greenwich, RI","East Greenwich School District",13146,1 
"44","44003","74300","74300","02818","99999","01110","100,000-249,999","25,000-99,999","RI","Kent RI","Warwick city","Warwick city, RI","99999","East Greenwich, RI","Warwick School District",4936,1 
"44","44003","74300","74300","02886","99999","01110","100,000-249,999","25,000-99,999","RI","Kent RI","Warwick city","Warwick city, RI","99999","Warwick, RI","Warwick School District",29269,1 
"44","44003","74300","74300","02888","99999","01110","100,000-249,999","25,000-99,999","RI","Kent RI","Warwick city","Warwick city, RI","99999","Warwick, RI","Warwick School District",19912,1 
"44","44003","74300","74300","02889","99999","01110","100,000-249,999","25,000-99,999","RI","Kent RI","Warwick city","Warwick city, RI","99999","Warwick, RI","Warwick School District",28217,1 
"44","44003","74300","74300","02893","99999","01110","100,000-249,999","25,000-99,999","RI","Kent RI","Warwick city","Warwick city, RI","99999","West Warwick, RI","Warwick School District",338,1 
"44","44003","77720","99999","02817","99999"," ","100,000-249,999","Not in a place","RI","Kent RI","West Greenwich town"," ","99999","West Greenwich, RI","44",6135,1 
"44","44003","78440","99999","02893","99999","01140","100,000-249,999","Not in a place","RI","Kent RI","West Warwick town"," ","99999","West Warwick, RI","West Warwick School District",29191,1 
"44","44005","36820","99999","02835","99999"," ","25,000-99,999","Not in a place","RI","Newport RI","Jamestown town"," ","99999","Jamestown, RI","44",5405,1 
"44","44005","42400","99999","02837","99999"," ","25,000-99,999","Not in a place","RI","Newport RI","Little Compton town"," ","99999","Little Compton, RI","44",3492,1 
